"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.732076526E0,7.182604820E-2,-1.292868853E-1,2.394201756E-1,2.814180171E-1
1.741963819E0,7.182604820E-2,-1.101332754E-1,2.298433632E-1,2.647948095E-1
1.751787674E0,-4.788403399E-3,-1.197100878E-1,2.298433632E-1,2.591937606E-1
1.761683456E0,5.746084079E-2,-9.097966552E-2,2.873041928E-1,3.067943072E-1
1.771516739E0,4.788403213E-2,-1.005564705E-1,3.303998411E-1,3.486668026E-1
1.781493406E0,-2.954444885E0,7.173028469E0,6.660669327E0,1.022475417E1
1.791177470E0,-1.335006905E1,8.099584198E1,-1.891898155E1,8.424059962E1
1.801176794E0,-3.246537447E0,3.027707481E1,6.742072296E1,7.397834243E1
1.811036899E0,1.906742287E1,3.564008713E1,-1.567435913E2,1.618713558E2
1.820975441E0,3.405991364E1,-1.024718285E1,7.775409698E1,8.550311147E1
1.830839713E0,1.865562057E1,-1.358948898E1,3.642059708E1,4.311805053E1
1.840667423E0,2.049436569E0,-7.900865555E0,1.668758583E1,1.857685085E1
1.850608049E0,-9.624691010E-1,-3.912125587E0,9.136273384E0,9.985117162E0
1.860467633E0,-1.015141487E0,-1.795651317E0,3.835511208E0,4.354999669E0
1.870367165E0,-5.841852427E-1,-5.363011956E-1,4.788403213E-2,7.944710509E-1
1.880190864E0,-2.873042040E-2,-1.628057212E-1,-6.368576288E-1,6.579656369E-1
1.890050188E0,9.576806799E-3,-1.292868853E-1,-1.675941199E-1,2.118834655E-1
1.899927428E0,1.436521020E-2,-1.484405100E-1,-1.197100878E-1,1.912366319E-1
1.909618054E0,1.436521020E-2,-1.292868853E-1,-6.703764945E-2,1.463403718E-1
1.919733420E0,7.661445439E-2,-1.292868853E-1,-7.182604820E-2,1.665648658E-1
1.929550661E0,3.830722719E-2,-1.580173075E-1,3.830722719E-2,1.670459721E-1
1.939378630E0,3.351882473E-2,-1.388636976E-1,2.681505978E-1,3.038278809E-1
1.949278215E0,-9.576806799E-3,-3.830722719E-2,5.698199868E-1,5.711864637E-1
1.959172591E0,1.915361360E-2,1.436520964E-1,2.025494576E0,2.030672564E0
1.969018737E0,-4.357447028E-1,1.857900500E0,9.461885452E0,9.652406126E0
1.978901759E0,-1.417367458E0,3.299209833E0,1.299572659E1,1.348267872E1
1.988769573E0,3.543418646E-1,6.665457726E0,2.020706177E1,2.128095933E1
1.998773167E0,7.048529625E0,3.380612850E0,2.371217346E1,2.496752858E1
2.008555773E0,8.815450668E0,-1.379060149E0,1.735317421E1,1.951273001E1
2.018358742E0,4.161122322E0,4.836287498E-1,1.238759995E1,1.307675297E1
2.028127545E0,7.230489254E-1,1.685518026E0,1.044350815E1,1.060333123E1
2.037952026E0,3.878606856E-1,6.272808313E-1,8.446743965E0,8.478879688E0
2.047978485E0,7.374141216E-1,6.655880809E-1,6.694188118E0,6.767491532E0
2.057876923E0,1.493981838E0,7.852981687E-1,5.267243862E0,5.531051695E0
2.067726404E0,2.925714493E0,1.048660398E0,6.607996464E0,7.302404480E0
2.077393592E0,3.390189648E0,1.479616642E0,9.318233490E0,1.002557363E1
2.087268489E0,2.738966703E0,1.158793569E0,1.032858658E1,1.074822971E1
2.097320209E0,1.742978811E0,2.006340981E0,9.581595421E0,9.943357083E0
2.107014637E0,1.747767210E0,1.197100878E0,8.939949036E0,9.187514870E0
2.117096565E0,1.781286120E0,8.619126081E-1,1.028070164E1,1.046941735E1
2.126957764E0,2.375048161E0,5.458779931E-1,1.058237171E1,1.085934748E1
2.136814848E0,2.485181332E0,9.193734527E-1,9.557653427E0,9.918170841E0
2.146695734E0,2.351106167E0,1.244984865E0,8.700529099E0,9.098180814E0
2.156564121E0,2.274491549E0,1.249773264E0,8.805873871E0,9.180340933E0
2.166404643E0,2.173935175E0,1.048660398E0,9.088389397E0,9.403430470E0
2.176293862E0,2.154781580E0,1.197100878E0,9.390059471E0,9.708210496E0
2.185971259E0,2.169146776E0,1.187524080E0,9.466673851E0,9.784340805E0
2.195840114E0,1.963245392E0,1.355118155E0,9.327810287E0,9.628017576E0
2.205715011E0,2.183511972E0,8.906430602E-1,9.600749016E0,9.886119120E0
2.215766262E0,2.331952572E0,1.101332784E0,9.533711433E0,9.876365242E0
2.225662617E0,2.518700123E0,1.039083481E0,9.165003777E0,9.561424528E0
2.235436681E0,2.035071373E0,9.241618514E-1,9.303867340E0,9.568570327E0
2.245186213E0,2.097320795E0,1.398213744E0,9.251194954E0,9.588449524E0
2.255071787E0,2.403778553E0,1.589749932E0,9.131484985E0,9.575462089E0
2.265115798E0,1.757344007E0,1.608903527E0,9.279925346E0,9.580910341E0
2.274938716E0,2.221819162E0,9.768342972E-1,9.370905876E0,9.680111703E0
2.284863925E0,2.365471363E0,1.508347034E0,9.610325813E0,1.001143985E1
2.294741114E0,2.169146776E0,1.053448796E0,9.313444138E0,9.620560992E0
2.304429188E0,2.078166962E0,9.433154464E-1,8.916007042E0,9.203466930E0
2.314472209E0,2.173935175E0,1.230619669E0,9.222464561E0,9.554803583E0
